timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1719315647.20032024,540264641,0,6,214865200,2320,10,1.21,-35.3635491,149.1642331,684.01,23.516000747680664,340.6474609375,-0.03200000151991844,0.0,1
1719315647.40024018,540464561,0,6,214865400,2320,10,1.21,-35.3635089,149.1642172,684.02,23.518001556396484,343.3778991699219,-0.00800000037997961,0.0,1
1719315647.60016012,540664481,0,6,214865600,2320,10,1.21,-35.3634682,149.16420359999998,684.02,23.523000717163086,346.1561584472656,-0.0010000000474974513,0.0,1
1719315647.80008030,540864401,0,6,214865800,2320,10,1.21,-35.3634269,149.1641924,684.02,23.531002044677734,348.96514892578125,0.010000000707805157,0.0,1
1719315648.00000024,541064321,0,6,214866000,2320,10,1.21,-35.3633853,149.1641837,684.02,23.53700065612793,351.8099670410156,-0.013000000268220901,0.0,1
1719315648.18076110,541245082,0,6,214866200,2320,10,1.21,-35.3633433,149.1641776,684.02,23.53700065612793,354.6296691894531,-0.03400000184774399,0.0,1
1719315648.38068128,541445002,0,6,214866400,2320,10,1.21,-35.3633011,149.164174,684.03,23.536001205444336,357.377197265625,-0.004000000189989805,0.0,1
1719315648.58060122,541644922,0,6,214866600,2320,10,1.21,-35.3632589,149.1641728,684.02,23.534000396728516,0.0948299989104271,0.036000002175569534,0.0,1
1719315648.78052115,541844842,0,6,214866800,2320,10,1.21,-35.3632166,149.1641742,684.02,23.532001495361328,2.8655099868774414,0.03500000014901161,0.0,1
1719315649.00043321,542064754,0,6,214867000,2320,10,1.21,-35.3631744,149.164178,684.02,23.529001235961914,5.707289695739746,-0.003000000026077032,0.0,1
1719315649.20035315,542264674,0,6,214867200,2320,10,1.21,-35.3631324,149.16418439999998,684.02,23.527000427246094,8.560319900512695,-0.04100000113248825,0.0,1
1719315649.40027308,542464594,0,6,214867400,2320,10,1.21,-35.3630907,149.16419349999998,684.03,23.52400016784668,11.373640060424805,-0.05000000074505806,0.0,1
1719315649.60019326,542664514,0,6,214867600,2320,10,1.21,-35.363049499999995,149.1642049,684.04,23.522001266479492,14.200089454650879,-0.04800000041723251,0.0,1
1719315649.80011320,542864434,0,6,214867800,2320,10,1.21,-35.363008799999996,149.1642188,684.0500000000001,23.523000717163086,17.03883934020996,-0.049000002443790436,0.0,1
1719315650.00003314,543064354,0,6,214868000,2320,10,1.21,-35.3629688,149.1642352,684.0600000000001,23.52400016784668,19.813199996948242,-0.030000001192092896,0.0,1
1719315650.18079424,543245115,0,6,214868200,2320,10,1.21,-35.3629295,149.1642539,684.0600000000001,23.522001266479492,22.560640335083008,-0.006000000052154064,0.0,1
1719315650.38071418,543445035,0,6,214868400,2320,10,1.21,-35.362890799999995,149.16427489999998,684.0600000000001,23.518001556396484,25.32634925842285,0.00800000037997961,0.0,1
1719315650.58063412,543644955,0,6,214868600,2320,10,1.21,-35.362853099999995,149.1642982,684.0600000000001,23.51500129699707,28.108579635620117,0.003000000026077032,0.0,1
1719315650.78055429,543844875,0,6,214868800,2320,10,1.21,-35.3628164,149.16432369999998,684.0600000000001,23.511001586914062,30.90146827697754,-0.004000000189989805,0.0,1
1719315651.00046611,544064787,0,6,214869000,2320,10,1.21,-35.3627806,149.16435149999998,684.0600000000001,23.50400161743164,33.728397369384766,-0.018000001087784767,0.0,1
1719315651.20038629,544264707,0,6,214869200,2320,10,1.21,-35.362746,149.1643814,684.07,23.4950008392334,36.5690803527832,-0.04000000283122063,0.0,1
1719315651.40030622,544464627,0,6,214869400,2320,10,1.21,-35.3627128,149.16441319999998,684.08,23.48900032043457,39.343849182128906,-0.03500000014901161,0.0,1
